Line_descr;Line_encoding;Category
914-ΟΜΟΝΟΙΑ-ΛΑΧΑΝΑΓΟΡΑ-ΠΑΛ.ΚΟΚΚΙΝΙΑ(ΚΥΚΛΙΚΗ);112;0
915-ΛΟΦΟΣΒΩΚΟΥ-ΠΡ.ΗΛΙΑΣ(ΚΥΚΛΙΚΗ);113;1
Α1-ΠΕΙΡΑΙΑΣ-ΒΟΥΛΑ;114;3
Α10-ΣΤΑΘΜΟΣΛΑΡΙΣΗΣ-ΑΧΑΡΝΑΙ;115;3
Α11-ΠΛ.ΒΑΘΗ-ΙΛΙΟΝ-ΠΕΤΡΟΥΠΟΛΗ(ΜΕΣΩΠΑΝΟΡΑΜΑΤΟΣ);116;3
Α13-ΟΜΟΝΟΙΑ-ΚΗΠΟΥΠΟΛΗ;169;3
Α15-ΣΤ.ΛΑΡΙΣΗΣ-ΔΑΣΟΣ;117;3
Α2-ΑΚΑΔΗΜΙΑ-ΒΟΥΛΑ(ΜΕΣΩΛ.ΑΜΦΙΘΕΑΣ);118;3
Α3-ΑΚΑΔΗΜΙΑ-ΓΛΥΦΑΔΑ(ΜΕΣΩΛ.ΒΟΥΛΙΑΓΜΕΝΗΣ);170;3
Α5-ΑΚΑΔΗΜΙΑ-ΑΓ.ΠΑΡΑΣΚΕΥΗ-ΑΝΘΟΥΣΑ;119;3
Α7-ΣΤΟΥΡΝΑΡΗ-ΚΗΦΙΣΙΑ(ΠΛΑΤΕΙΑΠΛΑΤΑΝΟΥ);120;3
Α8-ΠΟΛΥΤΕΧΝΕΙΟ-Ν.ΙΩΝΙΑ-ΜΑΡΟΥΣΙ;230;3
Β1-ΠΕΙΡΑΙΑΣ-ΑΝΩΓΛΥΦΑΔΑ;122;3
Β10-ΣΤΑΘΜΟΣΛΑΡΙΣΗΣ-ΑΧΑΡΝΑΙ(ΜΕΣΩΑΡΙΣΤΟΤΕΛΟΥΣ);123;3
Β11-ΠΛ.ΒΑΘΗ-ΙΛΙΟΝ-ΠΕΤΡΟΥΠΟΛΗ;124;3
Β12-ΣΤ.ΑΤΤΙΚΗ-ΑΝΩΛΙΟΣΙΑ(ΠΑΝΟΡΑΜΑ);125;3
Β15-ΣΤ.ΛΑΡΙΣΗΣ-ΠΑΛΑΤΑΚΙ;199;3
Β2-ΣΤ.ΣΥΓΓΡΟΥΦΙΞ-ΑΓ.ΚΟΣΜΑΣ(ΜΕΣΩΠΑΡΑΛΙΑΚΗΣ)(ΚΥΚΛΙΚΗ);127;3
Β5-ΣΤ.ΛΑΡΙΣΗΣ-Λ.ΑΛΕΞΑΝΔΡΑΣ-ΑΓ.ΠΑΡΑΣΚΕΥΗ;128;3
Β9-ΧΑΛΚΟΚΟΝΔΥΛΗ-ΜΕΤΑΜΟΡΦΩΣΗ-Ν.ΚΗΦΙΣΙΑ;129;3
Γ12-ΚΑΜΑΤΕΡΟ-ΑΓ.ΝΙΚΟΛΑΟΣ-ΙΛΙΟΝ-ΠΟΛΥΤΕΧΝΕΙΟ(ΚΥΚΛΙΚΗ);130;3
Ε14-ΣΥΝΤΑΓΜΑ-Ο.Α.Κ.Α.-ΥΠ.ΠΑΙΔΕΙΑΣ(EXPRESS);131;5
Ε90-ΠΕΙΡΑΙΑΣ-ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ(ΣΧΟΛΙΚΗEXPRESS);132;5
Χ93-ΣΤ.ΥΠΕΡ.ΛΕΩΦ.ΚΗΦΙΣΟΥ-ΑΕΡΟΛΙΜΕΝΑΣΑΘΗΝΩΝ(EXPRESS);133;5
Χ95-ΣΥΝΤΑΓΜΑ-ΑΕΡΟΛ.ΑΘΗΝΩΝ(EXPRESS);134;5
Χ96-ΠΕΙΡΑΙΑΣ-ΑΕΡ/ΝΑΣΑΘΗΝΩΝ(EXPRESS);135;5
Χ97-ΑΕΡΟΛΙΜΕΝΑΣΑΘΗΝΩΝ-ΣΤ.ΕΛΛΗΝΙΚΟ(EXPRESS)(ΚΥΚΛΙΚΗ);244;5
