Line_descr;Line_encoding;Category
203-ΚΑΡΕΑΣ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);147;0
204-ΣΤΡ.ΣΑΚΕΤΑ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);219;0
204Β-ΕΚΕΜΣ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);211;0
205-ΓΛΥΦΑΔΑ-ΣΟΥΡΜΕΝΑ-ΤΕΡΨΙΘΕΑ;24;2
206-ΑΓ.ΜΑΡΙΝΑ-ΣΤ.ΔΑΦΝΗΣ(ΚΥΚΛΙΚΗ);175;2
209-ΜΕΤΑΜΟΡΦΩΣΗ-ΣΥΝΤΑΓΜΑ(ΚΥΚΛΙΚΗ);176;0
21-ΝΙΚΑΙΑ-Π.ΡΑΛΛΗ-ΟΜΟΝΟΙΑ(ΚΥΚΛΙΚΗ);25;0
211-ΜΕΤΑΜΟΡΦΩΣΗ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);26;0
212-ΣΤ.ΔΑΦΝΗ-ΥΜΗΤΤΟΣ-ΒΥΡΩΝΑΣ-ΚΑΡΕΑΣ;148;2
214-ΖΩΟΔΟΧΟΣΠΗΓΗ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);27;0
229-ΠΕΙΡΑΙΑΣ-ΑΓ.ΔΗΜΗΤΡΙΟΣ-ΣΤ.ΔΑΦΝΗ;35;0
218-ΠΕΙΡΑΙΑΣ-ΣΤ.ΔΑΦΝΗ;29;0
219-ΣΤ.ΚΑΛΛΙΘΕΑ-ΑΓ.ΔΗΜΗΤΡΙΟΣ;30;0
220-ΑΝΩΙΛΙΣΙΑ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);31;0
221-ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);32;0
224-ΚΑΙΣΑΡΙΑΝΗ-ΕΛ.ΒΕΝΙΖΕΛΟΥ;33;1
227-ΑΝΩΠΕΤΡΑΛΩΝΑ-ΑΓ.ΑΡΤΕΜΙΟΣ;34;0
229-ΠΕΙΡΑΙΑΣ-ΑΓ.ΔΗΜΗΤΡΙΟΣ-ΣΤ.ΔΑΦΝΗ;35;0
230-ΑΚΡΟΠΟΛΗ-ΖΩΓΡΑΦΟΥ;36;0
235-ΖΩΓΡΑΦΟΥ-ΑΚΑΔΗΜΙΑ(ΚΥΚΛΙΚΗ);149;0
237-ΑΝΩΗΛΙΟΥΠΟΛΗ-ΣΤ.ΔΑΦΝΗΣ(ΚΥΚΛΙΚΗ);182;2
24-ΠΕΤΡΟΥΠΟΛΗ-ΙΛΙΟΝ-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ(ΚΥΚΛΙΚΗ);210;2
242-ΣΤ.ΚΑΤΕΧΑΚΗ-ΠΟΛΥΤΕΧΝΕΙΟΥΠΟΛΗ(ΚΥΚΛΙΚΗ);37;5
25-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ-ΙΛΙΟΝ-ΚΑΜΑΤΕΡΟ(ΚΥΚΛΙΚΗ);38;2
250-ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ-ΣΤ.ΕΥΑΓΓΕΛΙΣΜΟΥ(ΚΥΚΛΙΚΗ);226;5
3-Ν.ΦΙΛΑΔΕΛΦΕΙΑ-ΑΝΩΠΑΤΗΣΙΑ-ΝΕΟΨΥΧΙΚΟ;39;1
