stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
100064,100064,1η ΜΑΚ,38.0710959,23.6905227,http://telematics.oasa.gr/#stationInfo_100064
100065,100065,2η ΜΑΚ,38.0711709,23.6882308,http://telematics.oasa.gr/#stationInfo_100065
100066,100066,3η ΜΑΚ,38.0707029,23.6850439,http://telematics.oasa.gr/#stationInfo_100066
100068,100068,3η ΜΑΚ,38.0698297,23.6821258,http://telematics.oasa.gr/#stationInfo_100068
100069,100069,2η ΜΑΚ,38.0708902,23.6877532,http://telematics.oasa.gr/#stationInfo_100069
10007,10007,ΔΗΜΑΡΧΕΙΟ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,37.9895276,23.6592908,http://telematics.oasa.gr/#stationInfo_10007
100070,100070,1η ΜΑΚ,38.070896,23.6899193,http://telematics.oasa.gr/#stationInfo_100070
100071,100071,5η ΖΩΦΡΙΑΣ,38.0708392,23.6923251,http://telematics.oasa.gr/#stationInfo_100071
100072,100072,4η ΖΩΦΡΙΑΣ,38.0709102,23.6953574,http://telematics.oasa.gr/#stationInfo_100072
100073,100073,3η ΖΩΦΡΙΑΣ,38.0704803,23.6999309,http://telematics.oasa.gr/#stationInfo_100073
100074,100074,2η ΔΗΜΑΡΧΕΙΟ,38.0699592,23.7041284,http://telematics.oasa.gr/#stationInfo_100074
100075,100075,21η ΦΥΛΗΣ,38.0816395,23.696989,http://telematics.oasa.gr/#stationInfo_100075
100076,100076,ΝΙΚ. ΜΠΕΛΟΓΙΑΝΝΗ,38.081507,23.6974727,http://telematics.oasa.gr/#stationInfo_100076
10008,10008,1η ΑΓ. ΜΑΡΙΝΑΣ,37.9960176,23.6670467,http://telematics.oasa.gr/#stationInfo_10008
100081,100081,ΑΜΒΡΑΚΙΚΟΥ,38.087499,23.7045595,http://telematics.oasa.gr/#stationInfo_100081
100082,100082,5η ΓΕΝΝΗΜΑΤΑ,38.0847307,23.6806619,http://telematics.oasa.gr/#stationInfo_100082
100083,100083,ΔΙΑΣΤΑΥΡΩΣΗ ΦΥΛΗΣ,38.068939,23.7096146,http://telematics.oasa.gr/#stationInfo_100083
100084,100084,ΠΛ. ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ,38.0818961,23.6986071,http://telematics.oasa.gr/#stationInfo_100084
100086,100086,ΑΙΓΑΙΟΥ ΠΕΛΑΓΟΥΣ,38.0861215,23.7123762,http://telematics.oasa.gr/#stationInfo_100086
100087,100087,ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ,38.0860102,23.7111223,http://telematics.oasa.gr/#stationInfo_100087
100088,100088,ΜΑΚ,38.0681017,23.6764331,http://telematics.oasa.gr/#stationInfo_100088
100089,100089,ΓΡΑΜΜΕΣ ΟΣΕ,38.0685266,23.6768759,http://telematics.oasa.gr/#stationInfo_100089
100090,100090,17η ΦΥΛΗΣ,38.0749005,23.7055811,http://telematics.oasa.gr/#stationInfo_100090
100091,100091,ΓΡΑΜΜΕΣ ΟΣΕ,38.0684901,23.6767164,http://telematics.oasa.gr/#stationInfo_100091
100092,100092,ΕΙΡΗΝΗ,38.0853589,23.7113571,http://telematics.oasa.gr/#stationInfo_100092
100093,100093,MAK,38.0682369,23.6764097,http://telematics.oasa.gr/#stationInfo_100093
100094,100094,ΠΟΤΣΙΚΑ,38.0660981,23.6704287,http://telematics.oasa.gr/#stationInfo_100094
100095,100095,24η ΦΥΛΗΣ,38.0869832,23.6932972,http://telematics.oasa.gr/#stationInfo_100095
100096,100096,24η ΦΥΛΗΣ,38.0870783,23.6930053,http://telematics.oasa.gr/#stationInfo_100096
100103,100103,ΠΛ. ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ,38.0820856,23.698709,http://telematics.oasa.gr/#stationInfo_100103
100105,100105,ΕΡΓΑΣΤΗΡΙ,38.0904473,23.6844292,http://telematics.oasa.gr/#stationInfo_100105
100108,100108,3η ΑΓ. ΙΩΑΝΝΟΥ,38.0824263,23.690383,http://telematics.oasa.gr/#stationInfo_100108
100109,100109,4η ΑΓ. ΙΩΑΝΝΟΥ,38.0834617,23.6882038,http://telematics.oasa.gr/#stationInfo_100109
10011,10011,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,37.9884921,23.6543373,http://telematics.oasa.gr/#stationInfo_10011
100110,100110,5η ΑΓ. ΙΩΑΝΝΟΥ,38.0840714,23.6845497,http://telematics.oasa.gr/#stationInfo_100110
100111,100111,6η ΑΓ. ΙΩΑΝΝΟΥ,38.0848118,23.6831443,http://telematics.oasa.gr/#stationInfo_100111
100112,100112,7η ΑΓ. ΙΩΑΝΝΟΥ,38.0862427,23.6833421,http://telematics.oasa.gr/#stationInfo_100112
100113,100113,8η ΑΓ. ΙΩΑΝΝΟΥ,38.0872105,23.6845573,http://telematics.oasa.gr/#stationInfo_100113
100114,100114,9η ΑΓ. ΙΩΑΝΝΟΥ,38.0873294,23.6879389,http://telematics.oasa.gr/#stationInfo_100114
100115,100115,10η ΑΓ. ΙΩΑΝΝΟΥ,38.0876005,23.6905639,http://telematics.oasa.gr/#stationInfo_100115
100116,100116,ΔΗΜΗΤΡΑ,38.0834129,23.7104483,http://telematics.oasa.gr/#stationInfo_100116
10012,10012,ΠΑΛ. ΤΕΡΜΑ,37.9904349,23.652973,http://telematics.oasa.gr/#stationInfo_10012
10013,10013,ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,37.9876472,23.6582018,http://telematics.oasa.gr/#stationInfo_10013
100130,100130,ΛΟΥΡΟΥ,38.0922259,23.7041932,http://telematics.oasa.gr/#stationInfo_100130
100133,100133,ΚΥΚΛΑΔΩΝ,38.0855866,23.7185245,http://telematics.oasa.gr/#stationInfo_100133
100134,100134,4η ΜΑΚ,38.0700364,23.6819197,http://telematics.oasa.gr/#stationInfo_100134
100135,100135,4η MAK,38.0692114,23.6801334,http://telematics.oasa.gr/#stationInfo_100135
100136,100136,30η ΦΥΛΗΣ (ΓΗΠΕΔΟ),38.0973838,23.6829759,http://telematics.oasa.gr/#stationInfo_100136
100137,100137,30η ΦΥΛΗΣ,38.0971311,23.6828629,http://telematics.oasa.gr/#stationInfo_100137
100138,100138,ΣΑΡΩΝΙΚΟΥ ΚΟΛΠΟΥ,38.0823538,23.7085597,http://telematics.oasa.gr/#stationInfo_100138
100139,100139,ΑΜΑΞΟΣΤΑΣΙΟ (ΑΠΟΒΙΒΑΣΗ),38.0929164,23.6929917,http://telematics.oasa.gr/#stationInfo_100139
100140,100140,ΑΥΛΩΝΙΤΗ,38.0731193,23.7075123,http://telematics.oasa.gr/#stationInfo_100140
100141,100141,ΕΛΕΥΘΕΡΙΑΣ,38.0831458,23.7009624,http://telematics.oasa.gr/#stationInfo_100141
100142,100142,ΑΜΑΞΟΣΤΑΣΙΟ,38.092949,23.6928472,http://telematics.oasa.gr/#stationInfo_100142
100144,100144,1η ΡΟΔΩΝ,38.0970791,23.6915845,http://telematics.oasa.gr/#stationInfo_100144
100145,100145,2η ΡΟΔΩΝ,38.0995876,23.6903746,http://telematics.oasa.gr/#stationInfo_100145
100149,100149,ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,38.0707255,23.7100217,http://telematics.oasa.gr/#stationInfo_100149
100151,100151,ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ,38.0857307,23.7110435,http://telematics.oasa.gr/#stationInfo_100151
100152,100152,ΠΑΡΝΗΘΟΣ,38.0824736,23.7024246,http://telematics.oasa.gr/#stationInfo_100152
100153,100153,ΥΨΗΛΑΝΤΟΥ,38.0897638,23.7165927,http://telematics.oasa.gr/#stationInfo_100153
100154,100154,ΖΗΝΩΝΑ,38.0854074,23.693735,http://telematics.oasa.gr/#stationInfo_100154
100155,100155,ΕΚΚΛΗΣΙΑ,38.0867634,23.7132289,http://telematics.oasa.gr/#stationInfo_100155
100157,100157,ΦΙΛΙΑΤΡΩΝ,38.088604,23.7019302,http://telematics.oasa.gr/#stationInfo_100157
100158,100158,ΧΕΥΔΕΝ,38.0894115,23.6981772,http://telematics.oasa.gr/#stationInfo_100158
100159,100159,ΣΤΡ. ΜΑΚΡΥΓΙΑΝΝΗ,38.089408,23.6967973,http://telematics.oasa.gr/#stationInfo_100159
10016,10016,ΠΑΛ. ΤΕΡΜΑ,37.990758,23.6525313,http://telematics.oasa.gr/#stationInfo_10016
100160,100160,ΙΟΝ. ΠΕΛΑΓΟΥΣ,38.0887241,23.7007458,http://telematics.oasa.gr/#stationInfo_100160
100164,100164,ΥΨΗΛΑΝΤΟΥ,38.0896114,23.7169012,http://telematics.oasa.gr/#stationInfo_100164
100165,100165,1η ΗΡΑΚΛΗΣ,38.0638483,23.6409843,http://telematics.oasa.gr/#stationInfo_100165
100166,100166,ΣΙΔΕΡΑ,38.0605424,23.6625447,http://telematics.oasa.gr/#stationInfo_100166
100167,100167,ΠΟΤΣΙΚΑ,38.0650601,23.6695983,http://telematics.oasa.gr/#stationInfo_100167
10017,10017,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,37.9887072,23.653915,http://telematics.oasa.gr/#stationInfo_10017
100177,100177,ΚΛΕΙΣΘΕΝΟΥΣ,38.0692053,23.7089995,http://telematics.oasa.gr/#stationInfo_100177
100178,100178,1η ΖΩΦΡΙΑΣ,38.0693003,23.7073232,http://telematics.oasa.gr/#stationInfo_100178
10018,10018,ΚΝΩΣΟΥ,37.9873547,23.655044,http://telematics.oasa.gr/#stationInfo_10018
100181,100181,ΠΑΝΟΡΑΜΑ,38.0955676,23.6877578,http://telematics.oasa.gr/#stationInfo_100181
100182,100182,ΙΚΑ,38.0846871,23.6974782,http://telematics.oasa.gr/#stationInfo_100182
100183,100183,ΠΟΡΤΑΡΙΑΣ,38.086943,23.7129317,http://telematics.oasa.gr/#stationInfo_100183
100184,100184,ΔΗΜΑΡΧΕΙΟ,38.0821899,23.7024731,http://telematics.oasa.gr/#stationInfo_100184
100186,100186,ΚΑΡΑΙΣΚΑΚΗ,38.0961114,23.6915833,http://telematics.oasa.gr/#stationInfo_100186
100187,100187,ΚΟΥΡΜΟΥΛΗ,38.0883068,23.6961519,http://telematics.oasa.gr/#stationInfo_100187
100188,100188,25ης ΜΑΡΤΙΟΥ,38.0901047,23.6943655,http://telematics.oasa.gr/#stationInfo_100188
100191,100191,ΜΕΝΕΞΕΔΩΝ,38.0988931,23.689008,http://telematics.oasa.gr/#stationInfo_100191
100192,100192,ΔΗΜΑΡΧΕΙΟ,38.0822556,23.7020454,http://telematics.oasa.gr/#stationInfo_100192
100194,100194,ΣΧΟΛΕΙΟ,38.082961,23.7062995,http://telematics.oasa.gr/#stationInfo_100194
100195,100195,26η ΦΥΛΗΣ,38.0905161,23.6898298,http://telematics.oasa.gr/#stationInfo_100195
100196,100196,ΑΝΘΕΩΝ,38.0987735,23.6869959,http://telematics.oasa.gr/#stationInfo_100196
100197,100197,ΠΑΝΑΓΙΑΣ ΚΑΝΑΛΑΣ,38.0971483,23.685908,http://telematics.oasa.gr/#stationInfo_100197
100200,100200,ΚΑΡΑΓΙΩΡΓΗ ΣΕΡΒΙΑΣ,38.089861,23.6942296,http://telematics.oasa.gr/#stationInfo_100200
100203,100203,ΑΙΓΑΙΟΥ ΠΕΛΑΓΟΥΣ,38.0859684,23.7124338,http://telematics.oasa.gr/#stationInfo_100203
100204,100204,ΚΥΚΛΑΔΩΝ,38.0854404,23.7176926,http://telematics.oasa.gr/#stationInfo_100204
100209,100209,ΜΑΚΕΔΟΝΙΑ,38.0931712,23.7094405,http://telematics.oasa.gr/#stationInfo_100209
100210,100210,1η ΛΙΜΝΗΣ,38.0797986,23.7103486,http://telematics.oasa.gr/#stationInfo_100210
100215,100215,25ης ΜΑΡΤΙΟΥ,38.0907036,23.6924585,http://telematics.oasa.gr/#stationInfo_100215
100216,100216,1η ΛΙΜΝΗΣ,38.079637,23.7106228,http://telematics.oasa.gr/#stationInfo_100216
10023,10023,ΣΤ. ΣΑΡΑΦΗ,37.9932465,23.657824,http://telematics.oasa.gr/#stationInfo_10023
