name;latitude;longitude
Σαλαμίνος/Αρχ.Θέατρου;38.0823154930001;23.732776121
Εθνάρχου Μακαρίου;38.120048255;23.857655919
Λεωφ.Αρτέμιδος;37.97114214;24.008381102
Εθνικής Αντιστάσεως;37.9462905670001;23.6228733130001
Πλατεία Ελευθερίας;37.977558425;23.650078815
28ης Οκτωβρίου;38.0441433300001;23.755615828
Στρ.Καλλάρη II;38.0122738810001;23.7276167270001
Στ.Μετρό Δάφνη;37.9487104510001;23.737099851
Παπαστράτου (Πλ.Υμηττού);37.9550369630001;23.7469382620001
Ιακωβάτων (Νοσ.Παμμακάριστος);38.0145601850001;23.731435947
Στρ.Κοντούλη (Στ.μετρό Συγγρού;37.965394152;23.7271359700001
Φαναριωτών (Νοσ.Νίκαιας);37.973031914;23.662111786
Ρίμινι (Νοσ.Αττικόν);38.0156787060001;23.665429772
Παράδρομος Εγνατίας (Νοσ.Θριάσειο);38.0717214570001;23.5314987850001
Εστίας;37.8312072;23.8031856850001
Λεωφ.Ποσειδώνος (Βάρκιζα);37.8194074150001;23.803400663
Προύσης;38.0337461400001;23.7385728200001
Παρθενίου;38.007148237;23.6823686760001
Ιερά Οδός (Στ.μετρό Αγ.Μαρίνα);37.9981125150001;23.666917744
Αίγλης;38.0264061460001;23.6809678450001
Καρκαβίτσα;38.017368275;23.6911809150001
Κουντουριώτου;38.0071112970001;23.699507248
Ερυθραίας;38.0122396410001;23.6969136120001
Κύπρου;38.012041288;23.706412904
Σφακίων;38.0022769460001;23.6919136860001
Δεκελέων;37.978873838;23.7102971850001
Ανώνυμος οδός (Νοσ.ΙΑΣΩ);38.0354562110001;23.7940313190001
Φάρος Ψυχικού;38.005483441;23.775532234
Παράδρομος Μεσογείων (Στ. μετρό Εθνική Άμυνα);37.999446709;23.785084241
Λεωφ.Φυλής (Στ.προαστιακού Άνω Λιόσια);38.0708405550001;23.7099889570001
Κανελλοπούλου;38.036310622;23.5389675530001
Δραγούμη (Στ.μετρό Κηφισιά);38.0734450250001;23.8083694600001
Πλάτωνος;38.0590846900001;23.589215112
Διον.Σολωμού (Σταθμός μετρό Ν.ΙΩΝΙΑ);38.0414932830001;23.7553924
Ελ.Βενιζέλου;38.042784006;23.752548695
Ελ Αλαμέιν;38.0408546890001;23.7501382470001
Ζωοδόχου Πηγής;38.0372363700001;23.766064838
Αγίας Όλγας;38.0378836510001;23.756748406
Δημ.Ράλλη;38.054270767;23.807183062
Λεωφ.Δεκελείας;38.0427967590001;23.742245844
Μπόταση;37.929639955;23.643274116
Κλαπανάρα;37.947934623;23.6272883290001
Σίνα;37.979518511;23.7339239350001
Ομήρου;37.978708539;23.7347506080001
Ερμού;37.976759192;23.725425166
Αγ. Ασωμάτων ;37.977525472;23.721284977
Ευρυπίδου ;37.9800402720001;23.7263954160001
Σοφοκλέους;37.9810669730001;23.727579812
Κορυτσάς;38.0447924320001;23.828721052
