veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
7022,15,96,91
7023,15,96,91
7024,15,96,91
7025,15,96,91
7026,15,96,91
7027,15,96,91
7028,15,96,91
7029,15,96,91
7030,15,96,91
7031,15,96,91
7032,15,96,91
7033,15,96,91
7034,15,96,91
7035,15,96,91
7036,15,96,91
7037,15,96,91
7038,15,96,91
7040,15,96,91
7041,15,96,91
7042,15,96,91
7043,15,96,91
7044,15,96,91
7045,15,96,91
7047,15,96,91
7048,15,96,91
7049,15,96,91
7050,15,96,91
7051,15,96,91
7052,15,96,91
7053,15,96,91
7054,15,96,91
7056,15,96,91
7057,15,96,91
7058,15,96,91
7059,15,96,91
7060,15,96,91
7061,15,96,91
7062,15,96,91
7063,15,96,91
7064,15,96,91
7065,15,96,91
7066,15,96,91
7067,15,96,91
7068,15,96,91
7071,15,96,91
7072,15,96,91
7073,15,96,91
7074,15,96,91
7075,15,96,91
7076,15,96,91
7077,15,96,91
7078,15,96,91
7079,15,96,91
7080,15,96,91
7081,15,96,91
7082,15,96,91
7083,15,96,91
7084,15,96,91
7085,15,96,91
7086,15,96,91
7088,15,96,91
7089,15,96,91
7091,15,96,91
7092,15,96,91
7093,15,96,91
7094,15,96,91
7097,15,96,91
7099,15,96,91
7100,15,96,91
7102,15,96,91
7104,15,96,91
7105,15,96,91
7106,15,96,91
7107,15,96,91
7108,15,96,91
7109,15,96,91
7110,15,96,91
7111,15,96,91
7112,15,96,91
10007,4,59,56
10008,4,59,56
10009,4,59,56
10010,4,59,56
10011,4,59,56
10012,4,59,56
10013,4,59,56
10014,4,59,56
10015,4,59,56
10016,4,59,56
10017,4,59,56
10021,4,59,56
10081,4,59,56
10082,4,59,56
10083,4,59,56
10084,4,59,56
10085,4,59,56
10086,4,59,56
10087,4,59,56
10088,4,59,56
10089,4,59,56
10090,4,59,56
10091,4,59,56
10092,4,59,56
10093,4,59,56
10094,4,59,56
10095,4,59,56
10096,4,59,56
10097,4,59,56
10098,4,59,56
10099,4,59,56
10100,4,59,56
10101,4,59,56
10102,4,59,56
10103,4,59,56
10104,4,59,56
10105,4,59,56
10106,4,59,56
10107,4,59,56
10108,4,59,56
10109,4,59,56
10110,4,59,56
10111,4,59,56
10112,4,59,56
10114,4,59,56
10115,4,59,56
10116,4,59,56
10117,4,59,56
10118,4,59,56
10119,4,59,56
10120,4,59,56
10121,4,59,56
10122,4,59,56
10123,4,59,56
10124,4,59,56
10125,4,59,56
10126,4,59,56
10127,4,59,56
10128,4,59,56
10129,4,59,56
10130,4,59,56
10131,4,59,56
10132,4,59,56
10133,4,59,56
10134,4,59,56
10135,4,59,56
10136,4,59,56
10137,4,59,56
10138,4,59,56
10139,4,59,56
10140,4,59,56
10141,4,59,56
