Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60551,28,8,ΕΠΤΑΝΗΣΟΥ,37.9961709,23.7352559
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60552,29,9,ΙΘΑΚΗΣ,37.9976955,23.7373941
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60553,30,10,ΖΑΚΥΝΘΟΥ,37.9994663,23.7389319
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60554,31,11,ΣΚΥΡΟΥ,38.0010166,23.7406598
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60555,32,12,ΠΛ  ΚΥΨΕΛΗΣ (ΤΕΡΜΑ 036),38.0023813,23.7420444
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60556,33,13,ΦΙΛΟΤΙΜΟΥ,38.0020239,23.7437771
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60557,34,14,ΝΕΑ  ΚΥΨΕΛΗ,38.0014969,23.7459658
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60558,35,15,ΚΟΛΟΣΣΑΙΟΝ,38.0029801,23.7441838
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,61360,36,16,ΠΛ. ΚΥΨΕΛΗΣ,38.0022567,23.7415338
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60560,37,17,ΣΚΥΡΟΥ,38.0006996,23.7399433
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60561,38,18,ΖΑΚΥΝΘΟΥ,37.9993175,23.7385017
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60562,39,19,ΙΘΑΚΗΣ,37.9978366,23.7372541
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60563,40,20,ΕΠΤΑΝΗΣΟΥ,37.996173,23.7350393
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60565,41,21,ΟΤΕ ΠΕΔΙΟΥ ΑΡΕΩΣ,37.9933931,23.7315751
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,61011,42,22,ΠΟΛΥΤΕΧΝΕΙΟ,37.9884693,23.7303264
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60985,43,23,ΠΛ. ΚΑΝΙΓΓΟΣ,37.9854204,23.7310317
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60008,44,24,ΖΩΟΔ.ΠΗΓΗ,37.9835545,23.7325977
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,60580,45,25,ΑΦΕΤΗΡΙΑ - ΑΚΑΔΗΜΙΑ,37.9807965,23.734699
022-ΑΚΑΔΗΜΙΑ-Ν.ΚΥΨΕΛΗ(ΚΥΚΛΙΚΗ),1,1,91,21,26,ΑΦΕΤΗΡΙΑ - ΣΙΝΑ,37.980083,23.734821
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,20,46,1,ΑΝΩ ΚΥΨΕΛΗ,38.0062135,23.7496075
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,21,75,1,ΣΤΑΥΡΟΣ,37.9640815,23.6963765
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,450005,78,2,ΠΑΝΑΓΙΤΣΑ,37.9647367,23.6988529
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60541,47,2,ΓΥΜΝΑΣΙΟ,38.0042682,23.7479952
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60542,48,3,ΠΑΛ. ΤΕΡΜΑ,38.0032548,23.7461534
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,450006,79,3,ΑΓ. ΣΟΦΙΑ,37.9643007,23.7016993
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,450007,80,4,ΣΤΡΟΦΗ,37.9638926,23.7043254
