stop_id;stop_descr;stop_street;stop_url;stop_code
060949;3η ΑΙΓΑΙΟΥ;ΚΡΑΤΗΤΟΣ;http://telematics.oasa.gr/#stationInfo_60949;60949
060950;2η ΑΙΓΑΙΟΥ;ΚΡΑΤΗΤΟΣ;http://telematics.oasa.gr/#stationInfo_60950;60950
060952;ΠΑΡΝΗΘΟΣ;ΠΑΡΝΗΘΟΣ;http://telematics.oasa.gr/#stationInfo_60952;60952
060953;ΦΑΕΘΩΝΤΟΣ;ΔΑΦΝΙΔΟΣ;http://telematics.oasa.gr/#stationInfo_60953;60953
060954;ΠΥΘΩΝΟΣ;ΔΑΦΝΙΔΟΣ;http://telematics.oasa.gr/#stationInfo_60954;60954
060955;ΑΓ.ΔΗΜΗΤΡΙΟΣ;ΣΤΡ\ΓΟΥ ΚΑΛΛΑΡΗ;http://telematics.oasa.gr/#stationInfo_60955;60955
060962;ΚΥΘΝΟΥ;ΚΥΘΝΟΥ;http://telematics.oasa.gr/#stationInfo_60962;60962
060978;ΜΠΟΥΚΟΥΒΑΛΑ;ΡΑΓΚΑΒΗ;http://telematics.oasa.gr/#stationInfo_60978;60978
061026;2η ΣΧΟΛΕΙΟ;ΕΥΦΡΟΝΙΟΥ;http://telematics.oasa.gr/#stationInfo_61026;61026
061060;ΚΛΩΝΑΡΙΔΟΥ;ΠΑΤΗΣΙΩΝ;http://telematics.oasa.gr/#stationInfo_61060;61060
061061;ΑΓ. ΛΟΥΚΑΣ;ΠΑΤΗΣΙΩΝ;http://telematics.oasa.gr/#stationInfo_61061;61061
061071;ΦΑΕΘΩΝΤΟΣ;ΦΑΙΔΡΙΑΔΩΝ;http://telematics.oasa.gr/#stationInfo_61071;61071
061076;ΖΙΝΝΗ;ΒΕΙΚΟΥ;http://telematics.oasa.gr/#stationInfo_61076;61076
061077;ΚΟΥΚΑΚΙ;ΒΕΙΚΟΥ;http://telematics.oasa.gr/#stationInfo_61077;61077
061088;KOYKAKI;ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_61088;61088
061096;ΠΛ.ΠΑΓΚΡΑΤΙΟΥ;ΦΡΥΝΗΣ;http://telematics.oasa.gr/#stationInfo_61096;61096
061098;ΠΑΓΚΡΑΤΙ;ΕΥΤΥΧΙΔΟΥ;http://telematics.oasa.gr/#stationInfo_61098;61098
061100;ΠΡΟΦ.ΗΛΙΑΣ;ΕΥΦΡΑΝΟΡΟΣ;http://telematics.oasa.gr/#stationInfo_61100;61100
061104;ΑΡΥΒΒΟΥ;ΦΙΛΟΛΑΟΥ;http://telematics.oasa.gr/#stationInfo_61104;61104
061105;ΥΜΗΤΤΟΥ;ΑΛΚΕΤΟΥ;http://telematics.oasa.gr/#stationInfo_61105;61105
