stop_id,stop_encoding,stop_descr,stop_desr_matrix,stop_street,dimos,perioxi,stop_code,stop_url
10026,3840.0,ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,STROFH AG.BARBARAS,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10026,http://telematics.oasa.gr/#stationInfo_10026
10028,3191.0,ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,STROFH AG.BARBARAS,ΙΕΡΑΣ ΟΔΟΥ,ΧΑΪΔΑΡΙΟΥ,Δ.  ΧΑΪΔΑΡΙΟΥ,10028,http://telematics.oasa.gr/#stationInfo_10028
10029,3561.0,ΙΚΑ,IKA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10029,http://telematics.oasa.gr/#stationInfo_10029
10030,3562.0,ΑΓ. ΕΛΕΟΥΣΑ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,AG. ELEOYSA  - ST. AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10030,http://telematics.oasa.gr/#stationInfo_10030
10031,3583.0,28ης ΟΚΤΩΒΡΙΟΥ,28th OKTOBRIOY,28ης ΟΚΤΩΒΡΙΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10031,http://telematics.oasa.gr/#stationInfo_10031
10032,3044.0,ΒΕΝΕΤΙΑ,BENETIA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10032,http://telematics.oasa.gr/#stationInfo_10032
10036,3581.0,ΙΚΑ,IKA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10036,http://telematics.oasa.gr/#stationInfo_10036
10037,3272.0,5η ΚΟΡΥΔΑΛΛΟΥ,5th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10037,http://telematics.oasa.gr/#stationInfo_10037
10040,3273.0,6η ΚΟΡΥΔΑΛΛΟΥ,6th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10040,http://telematics.oasa.gr/#stationInfo_10040
10041,3274.0,7η ΚΟΡΥΔΑΛΛΟΥ,7th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10041,http://telematics.oasa.gr/#stationInfo_10041
10042,3262.0,6η ΚΟΡΥΔΑΛΛΟΥ,6th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10042,http://telematics.oasa.gr/#stationInfo_10042
10043,3263.0,5η ΚΟΡΥΔΑΛΛΟΥ,5th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10043,http://telematics.oasa.gr/#stationInfo_10043
10044,3041.0,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,MARINOY ANTYPA,ΜΑΡ.ΑΝΤΥΠΑ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10044,http://telematics.oasa.gr/#stationInfo_10044
10045,3043.0,ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,PL. MAKRYGIANNH,ΗΡΑΚΛΕΙΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10045,http://telematics.oasa.gr/#stationInfo_10045
10046,4909.0,ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,PL. MAKRYGIANNH,ΗΡΑΚΛΕΙΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10046,http://telematics.oasa.gr/#stationInfo_10046
10047,3084.0,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,MARINOY ANTYPA,ΜΑΡ.ΑΝΤΥΠΑ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10047,http://telematics.oasa.gr/#stationInfo_10047
10048,3040.0,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,APOSTOLOY PAYLOY,ΚΟΡΥΔΑΛΛΟΥ,ΑΙΓΑΛΕΩ,Δ.  ΑΙΓΑΛΕΩ,10048,http://telematics.oasa.gr/#stationInfo_10048
10049,3042.0,ΣΙΦΝΟΥ,SIFNOY,ΜΑΡ.ΑΝΤΥΠΑ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10049,http://telematics.oasa.gr/#stationInfo_10049
10053,3085.0,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,APOSTOLOY PAYLOY,ΚΟΡΥΔΑΛΛΟΥ,ΑΙΓΑΛΕΩ,Δ.  ΑΙΓΑΛΕΩ,10053,http://telematics.oasa.gr/#stationInfo_10053
